committee,video_id,title,published_at,found_at,view_count,like_count,url
Assassination Task Force,lSl5zMqh7MI,"House Bipartisan Task Force Outlines Need for Accountability, Transparency",2024-12-13T16:18:56Z,2025-09-17T15:06:18.229969+00:00,273,7,https://www.youtube.com/watch?v=lSl5zMqh7MI
Assassination Task Force,7rhrbaCmebs,House Bipartisan Task Force Outlines Secret Service's Failure to Execute,2024-12-12T15:34:54Z,2025-09-17T15:06:18.229986+00:00,264,4,https://www.youtube.com/watch?v=7rhrbaCmebs
Assassination Task Force,4XmfTI7z9nQ,House Bipartisan Task Force Outlines Secret Service's Failure to Plan,2024-12-11T21:23:10Z,2025-09-17T15:06:18.229989+00:00,114,3,https://www.youtube.com/watch?v=4XmfTI7z9nQ
Assassination Task Force,9f1n-Ye5p9I,Task Force on the Attempted Assassination of Donald J. Trump Business Meeting,2024-12-06T05:09:40Z,2025-09-17T15:06:18.229991+00:00,147,2,https://www.youtube.com/watch?v=9f1n-Ye5p9I
Assassination Task Force,UuBS5LUwMUU,Secret Service Security Failures and the Attempts to Assassinate President-Elect Donald J. Trump.,2024-12-06T04:43:28Z,2025-09-17T15:06:18.229992+00:00,2997,20,https://www.youtube.com/watch?v=UuBS5LUwMUU
Assassination Task Force,Jne45WpkOWY,Task Force on the Attempted Assassination of Donald J. Trump Hearing: Security Failures Butler Pa.,2024-09-27T12:00:22Z,2025-09-17T15:06:18.229994+00:00,780,7,https://www.youtube.com/watch?v=Jne45WpkOWY
Rules,5A2jIJxnucE,Rules Committee Hearing  H.R. 5371 and H.Res. 719,2025-09-17T10:26:08Z,2025-09-17T15:06:18.667596+00:00,1448,37,https://www.youtube.com/watch?v=5A2jIJxnucE
Rules,UZ8UnK6SChQ,"Rules Committee Hearing  H.R. 1047, 3062, 3015, 4922, 5143, 5140, 5125",2025-09-16T09:48:36Z,2025-09-17T15:06:18.667603+00:00,940,35,https://www.youtube.com/watch?v=UZ8UnK6SChQ
Rules,S5Gj9BDLkKQ,Rules Committee Hearing  H.R. 3838 and 3486 Part II,2025-09-11T21:18:36Z,2025-09-17T15:06:18.667605+00:00,1800,20,https://www.youtube.com/watch?v=S5Gj9BDLkKQ
Rules,fRm7NJMMRTQ,Rules Committee Hearing  H.R. 3838 and 3486,2025-09-09T01:20:32Z,2025-09-17T15:06:18.667607+00:00,3565,45,https://www.youtube.com/watch?v=fRm7NJMMRTQ
Rules,3D5mr37iaKU,Rules Committee Hearing  H.R. 3486 and 3838,2025-09-08T13:55:06Z,2025-09-17T15:06:18.667608+00:00,0,5,https://www.youtube.com/watch?v=3D5mr37iaKU
Rules,jZ7XO2EqQT0,Rules Committee Hearing  H.R. 3486 and 3838,2025-09-08T13:54:01Z,2025-09-17T15:06:18.667610+00:00,0,6,https://www.youtube.com/watch?v=jZ7XO2EqQT0
Rules,QjjFPzjbFwE,"Rules Committee Hearing  H.R. 4553, H. Res. ___, H.J. Res. 104, 105, and 106",2025-09-03T02:01:03Z,2025-09-17T15:06:18.667611+00:00,2438,54,https://www.youtube.com/watch?v=QjjFPzjbFwE
Rules,xS4n60VrJ8U,"Rules Committee Hearing  H.R. 3486, 3898, H.J. Res. 104, 105, and 106",2025-07-22T11:42:46Z,2025-09-17T15:06:18.667613+00:00,3004,64,https://www.youtube.com/watch?v=xS4n60VrJ8U
Rules,FcXZdfezz78,Rules Committee Hearing  Senate Amendment  to H.R. 4,2025-07-18T14:10:00Z,2025-09-17T15:06:18.667615+00:00,7073,65,https://www.youtube.com/watch?v=FcXZdfezz78
Rules,vmGs954oND4,Rules Committee Hearing  H. Res. _____,2025-07-16T17:51:35Z,2025-09-17T15:06:18.667617+00:00,0,4,https://www.youtube.com/watch?v=vmGs954oND4
Rules,344Qcnk2rE8,"Rules Committee Hearing  H.R. 1919, 3633, 4016, and  S. 1582",2025-07-15T01:42:48Z,2025-09-17T15:06:18.667619+00:00,8091,121,https://www.youtube.com/watch?v=344Qcnk2rE8
Rules,cg7LHcYC24Q,Rules Committee Hearing Senate amendment to H.R. 1,2025-07-02T05:40:08Z,2025-09-17T15:06:18.667620+00:00,17637,154,https://www.youtube.com/watch?v=cg7LHcYC24Q
Rules,ic4aC6AN9Nw,"Rules Committee Hearing H.R. 275, 875, 3944 and H. Res. 516",2025-06-24T11:45:32Z,2025-09-17T15:06:18.667622+00:00,2909,58,https://www.youtube.com/watch?v=ic4aC6AN9Nw
Rules,r5WOJWgH7fE,Rules Committee Hearing H.R. 4,2025-06-10T23:06:58Z,2025-09-17T15:06:18.667625+00:00,3429,49,https://www.youtube.com/watch?v=r5WOJWgH7fE
Rules,DZApW0E4eC0,"Rules Committee Hearing H.R. 884, 2056, 2096, S. 331",2025-06-10T09:40:42Z,2025-09-17T15:06:18.667627+00:00,1408,48,https://www.youtube.com/watch?v=DZApW0E4eC0
Rules,HGTWG-HXbhc,"Rules Committee Hearing H.R. 2987, 2931, 2966 and 2483",2025-06-04T10:50:27Z,2025-09-17T15:06:18.667628+00:00,1750,43,https://www.youtube.com/watch?v=HGTWG-HXbhc
Rules,b9FdGjsN_bE,Rules Committee Hearing H.R. ____,2025-05-22T03:05:28Z,2025-09-17T15:06:18.667630+00:00,24831,273,https://www.youtube.com/watch?v=b9FdGjsN_bE
