committee,video_id,title,published_at,view_count,like_count,url
Assassination Task Force,lSl5zMqh7MI,"House Bipartisan Task Force Outlines Need for Accountability, Transparency",2024-12-13T16:18:56Z,273,7,https://www.youtube.com/watch?v=lSl5zMqh7MI
Assassination Task Force,7rhrbaCmebs,House Bipartisan Task Force Outlines Secret Service's Failure to Execute,2024-12-12T15:34:54Z,264,4,https://www.youtube.com/watch?v=7rhrbaCmebs
Assassination Task Force,4XmfTI7z9nQ,House Bipartisan Task Force Outlines Secret Service's Failure to Plan,2024-12-11T21:23:10Z,114,3,https://www.youtube.com/watch?v=4XmfTI7z9nQ
Assassination Task Force,9f1n-Ye5p9I,Task Force on the Attempted Assassination of Donald J. Trump Business Meeting,2024-12-06T05:09:40Z,147,2,https://www.youtube.com/watch?v=9f1n-Ye5p9I
Assassination Task Force,UuBS5LUwMUU,Secret Service Security Failures and the Attempts to Assassinate President-Elect Donald J. Trump.,2024-12-06T04:43:28Z,2997,20,https://www.youtube.com/watch?v=UuBS5LUwMUU
Rules,5A2jIJxnucE,Rules Committee Hearing  H.R. 5371 and H.Res. 719,2025-09-17T10:26:08Z,1431,37,https://www.youtube.com/watch?v=5A2jIJxnucE
Rules,UZ8UnK6SChQ,"Rules Committee Hearing  H.R. 1047, 3062, 3015, 4922, 5143, 5140, 5125",2025-09-16T09:48:36Z,940,35,https://www.youtube.com/watch?v=UZ8UnK6SChQ
Rules,S5Gj9BDLkKQ,Rules Committee Hearing  H.R. 3838 and 3486 Part II,2025-09-11T21:18:36Z,1800,20,https://www.youtube.com/watch?v=S5Gj9BDLkKQ
Rules,fRm7NJMMRTQ,Rules Committee Hearing  H.R. 3838 and 3486,2025-09-09T01:20:32Z,3565,45,https://www.youtube.com/watch?v=fRm7NJMMRTQ
Rules,3D5mr37iaKU,Rules Committee Hearing  H.R. 3486 and 3838,2025-09-08T13:55:06Z,0,5,https://www.youtube.com/watch?v=3D5mr37iaKU
Veterans' Affairs,BRd8EuyhluA,Subcommittee on Technology Modernization Oversight Hearing,2025-09-16T08:37:10Z,2153,27,https://www.youtube.com/watch?v=BRd8EuyhluA
Veterans' Affairs,tauJC7LWUn4,Subcommittee on Technology Modernization Oversight Field Hearing,2025-07-26T04:53:52Z,1729,25,https://www.youtube.com/watch?v=tauJC7LWUn4
Veterans' Affairs,ewRADz1xvCQ,Full Committee Markup,2025-07-23T18:57:53Z,1855,21,https://www.youtube.com/watch?v=ewRADz1xvCQ
Veterans' Affairs,kAki1mTMHGg,Subcommittee on Oversight and Investigations Oversight Hearing,2025-07-23T07:35:45Z,2302,31,https://www.youtube.com/watch?v=kAki1mTMHGg
Veterans' Affairs,EGKOFXTWsxI,Subcommittee on Economic Opportunity Oversight Hearing,2025-07-17T07:29:40Z,2084,14,https://www.youtube.com/watch?v=EGKOFXTWsxI
Education and the Workforce,968JIUXnpxU,"Markup of H.R. 1723, H.R. 2958, H.R. 2869, H.R. 2844, H.R. 3495, H.R. 5169",2025-09-17T14:05:21Z,70,1,https://www.youtube.com/watch?v=968JIUXnpxU
Education and the Workforce,5F0FaxWAVYQ,"September 17, 2025",2025-09-17T14:09:59Z,96,1,https://www.youtube.com/watch?v=5F0FaxWAVYQ
Education and the Workforce,l9P6XrM3HeY,No More Surprises: Reforming College Pricing for Students and Families,2025-09-17T04:30:19Z,886,12,https://www.youtube.com/watch?v=l9P6XrM3HeY
Education and the Workforce,EqhFGb074Gc,From Playground to Classroom: The Spread of Antisemitism in K-12 Schools,2025-09-12T06:43:48Z,2665,31,https://www.youtube.com/watch?v=EqhFGb074Gc
Education and the Workforce,XJI76UUDOSM,Unmasking Union Antisemitism,2025-09-10T21:23:00Z,1778,18,https://www.youtube.com/watch?v=XJI76UUDOSM
Ways and Means,hJ8Gvv8ByQw,Markup of Several Bills and Views and Estimates Letter to the Committee on the Budget,2025-09-17T13:45:26Z,214,3,https://www.youtube.com/watch?v=hJ8Gvv8ByQw
Ways and Means,a3MoTSguCyE,Oversight Subcommittee Hearing on Where Tax-Exempt Hospitals are Spending Your Tax Dollars,2025-09-17T09:02:47Z,2666,10,https://www.youtube.com/watch?v=a3MoTSguCyE
Ways and Means,XXSbOVBPcgs,Joint Social Security and Work & Welfare Subcommittee Hearing on Untapped Talent in America,2025-09-12T11:57:57Z,1785,26,https://www.youtube.com/watch?v=XXSbOVBPcgs
Ways and Means,5mbOHY7VdxA,Work and Welfare Member Carey Opening Statement: Untapped Talent: Removing Barriers to Work,2025-09-10T18:05:05Z,41,3,https://www.youtube.com/watch?v=5mbOHY7VdxA
Ways and Means,R8q9AIG4CFw,Social Security Chairman Estes Opening Statement: Untapped Talent: Removing Barriers to Work,2025-09-10T18:04:16Z,31,5,https://www.youtube.com/watch?v=R8q9AIG4CFw
Energy and Commerce,6-h6MIQBY6Q,Full Committee Markup,2025-09-17T13:46:21Z,233,2,https://www.youtube.com/watch?v=6-h6MIQBY6Q
Energy and Commerce,EjiZue5I0sc,Chairman Guthrie's Opening Statement at Full Committee Markup,2025-09-17T14:13:22Z,6,0,https://www.youtube.com/watch?v=EjiZue5I0sc
Energy and Commerce,Ioit78f_sDk,Environment Legislative Hearing: From Gridlock to Growth: Permitting Reform Under the Clean Air Act,2025-09-17T10:27:32Z,648,1,https://www.youtube.com/watch?v=Ioit78f_sDk
Energy and Commerce,T7Sc74FB8gY,Chairman Palmer Delivers Opening Statement at Environment Hearing on Clean Air Act Permitting,2025-09-16T19:53:15Z,38,0,https://www.youtube.com/watch?v=T7Sc74FB8gY
Energy and Commerce,hWeTVUHqdOc,Appliance and Building Policies: Restoring the American Dream of Home Ownership and Consumer Choice,2025-09-16T19:51:14Z,1336,3,https://www.youtube.com/watch?v=hWeTVUHqdOc
"Science, Space, and Technology",1lTPOcbI6u0,Full Committee Markup of the Weather Act Reauthorization Act of 2025,2025-09-12T23:58:21Z,412,5,https://www.youtube.com/watch?v=1lTPOcbI6u0
"Science, Space, and Technology",nS7oETA3sxY,Igniting America's Energy Future: The Promise and Progress of Fusion Power,2025-09-11T14:48:24Z,0,0,https://www.youtube.com/watch?v=nS7oETA3sxY
"Science, Space, and Technology",YfgHNpiy4Pc,Protecting Lives and Property: Harnessing Innovative Technologies to Enhance Weather Forecasting,2025-07-17T03:50:29Z,1309,13,https://www.youtube.com/watch?v=YfgHNpiy4Pc
"Science, Space, and Technology",hZEejPpnElY,Hearing - Justice for Whom? Examining the Justice40 Initiative’s Oversight and Implementation,2025-06-27T02:59:14Z,685,7,https://www.youtube.com/watch?v=hZEejPpnElY
"Science, Space, and Technology",AnWelrebzBQ,Energy Subcommittee Hearing - Powering Demand: Nuclear Solutions for AI Infrastructure,2025-06-13T04:11:04Z,1865,17,https://www.youtube.com/watch?v=AnWelrebzBQ
Homeland Security,p6KR8Dm3TAI,"Surveying the Threat of Agroterrorism: Perspectives on Food, Agriculture, and Veterinary Defense",2025-09-17T08:25:57Z,1017,14,https://www.youtube.com/watch?v=p6KR8Dm3TAI
Homeland Security,W6A09H78bLo,"Special Events Task Force Roundtable With FIFA, LA28 on Security Preparations",2025-09-15T18:34:51Z,0,1,https://www.youtube.com/watch?v=W6A09H78bLo
Homeland Security,Tw23WzVR51U,How China is Using Illegal Marijuana to Build a Criminal Network Across America,2025-09-15T18:11:27Z,0,3,https://www.youtube.com/watch?v=Tw23WzVR51U
Homeland Security,witHg-eVmG0,Full Committee Markup,2025-09-04T03:24:46Z,1416,34,https://www.youtube.com/watch?v=witHg-eVmG0
Homeland Security,WweC6r3KA2U,Lessons Learned: An Examination of Major Security Incidents at Mass Gathering Events,2025-07-22T19:40:52Z,2474,51,https://www.youtube.com/watch?v=WweC6r3KA2U
Agriculture,FGfDSQvbq50,An Examination of the State of the Specialty Crop Industry,2025-09-17T06:06:51Z,871,4,https://www.youtube.com/watch?v=FGfDSQvbq50
Agriculture,-Ii51ySKWUc,Hearing Highlights | Exploring State Options in SNAP,2025-09-15T19:06:49Z,35,3,https://www.youtube.com/watch?v=-Ii51ySKWUc
Agriculture,Z0zTAKRYYQs,Promoting Forest Health and Resiliency Through Improved Active Management,2025-09-12T22:04:51Z,501,1,https://www.youtube.com/watch?v=Z0zTAKRYYQs
Agriculture,yjygoBMQMuY,Exploring State Options in SNAP,2025-09-12T04:28:40Z,2049,11,https://www.youtube.com/watch?v=yjygoBMQMuY
Agriculture,u3ZZ62KZbNQ,USDA’s Rural Development: Delivering Vital Programs and Services to Rural America,2025-09-09T17:32:10Z,0,0,https://www.youtube.com/watch?v=u3ZZ62KZbNQ
Appropriations,0dXGM5bdnqA,"Part 2: Full Committee Markup of FY26 Labor, HHS, Education, & Related Agencies Bill",2025-09-12T18:44:44Z,1549,12,https://www.youtube.com/watch?v=0dXGM5bdnqA
Appropriations,kB2zq7ykPTg,"Full Committee Markup of FY26 Commerce, Justice, Science, and Related Agencies Bill",2025-09-11T02:28:20Z,6591,48,https://www.youtube.com/watch?v=kB2zq7ykPTg
Appropriations,azyKOybUcSQ,"Part 1: Full Committee Markup of FY26 Labor, HHS, Education, & Related Agencies Bill",2025-09-10T03:39:29Z,12203,70,https://www.youtube.com/watch?v=azyKOybUcSQ
Appropriations,EQVbb-r6FbE,Full Committee Markup of FY26 Financial Services and General Government Bill,2025-09-04T01:52:46Z,4830,40,https://www.youtube.com/watch?v=EQVbb-r6FbE
Appropriations,XFB0coENolE,"Subcommittee Markup of FY26 Labor, Health and Human Services, Education, and Related Agencies Bill",2025-09-03T09:59:01Z,5948,29,https://www.youtube.com/watch?v=XFB0coENolE
Armed Services,VYzU1uwLrzY,Full Committee Hearing: Reforming Defense Acquisition to Deliver Capability,2025-07-24T03:51:21Z,4670,29,https://www.youtube.com/watch?v=VYzU1uwLrzY
Armed Services,fvRUsxdWHgo,Full Committee Markup: FY26 NDAA Markup Part 2,2025-07-16T15:55:39Z,1917,12,https://www.youtube.com/watch?v=fvRUsxdWHgo
Armed Services,VGfv8PLtZWw,Full Committee Markup: FY26 NDAA,2025-07-16T02:02:12Z,6744,35,https://www.youtube.com/watch?v=VGfv8PLtZWw
Armed Services,YumlOi4cPSg,The SPEED Act Explained - Chairman Rogers and Ranking Member Smith,2025-06-30T15:13:37Z,734,12,https://www.youtube.com/watch?v=YumlOi4cPSg
Armed Services,PmB8OW_cbS8,Department of Defense Fiscal Year 2026 Budget Request,2025-06-12T19:27:01Z,6680,39,https://www.youtube.com/watch?v=PmB8OW_cbS8
Financial Services,KmAvlI4bjCw,Hearing Entitled: The Reauthorization of the Terrorism Risk Insurance Act of 2002,2025-09-17T13:54:06Z,216,5,https://www.youtube.com/watch?v=KmAvlI4bjCw
Financial Services,APw3fLocups,Markup of Various Measures,2025-09-16T19:45:24Z,867,16,https://www.youtube.com/watch?v=APw3fLocups
Financial Services,i8dax3RcSiY,Hearing Entitled: Promoting the Health of the Banking Sector,2025-09-12T11:03:30Z,981,15,https://www.youtube.com/watch?v=i8dax3RcSiY
Financial Services,qnM3U3zKPcs,Hearing Entitled: Evaluating the Financial Crimes Enforcement Network,2025-09-12T10:13:08Z,1721,17,https://www.youtube.com/watch?v=qnM3U3zKPcs
Financial Services,lJcpyzAzrt4,Hearing Entitled: Unlocking the Next Generation of AI in the U.S. Financial System,2025-09-11T14:47:34Z,0,1,https://www.youtube.com/watch?v=lJcpyzAzrt4
Judiciary,7A6C2GIH884,Oversight of the Federal Bureau of Investigation,2025-09-17T13:45:21Z,2308,95,https://www.youtube.com/watch?v=7A6C2GIH884
Judiciary,xXoJnHyZShI,Kash Patel is the Man for the Moment,2025-09-17T13:04:45Z,92,24,https://www.youtube.com/watch?v=xXoJnHyZShI
Judiciary,l1_xzIcyMto,Unmanned and Unchecked: Confronting the Rising Threat of Malicious Drone Use in America,2025-09-17T08:43:25Z,2138,26,https://www.youtube.com/watch?v=l1_xzIcyMto
Judiciary,9hLn4q9d0yE,AI at a Crossroads: A Nationwide Strategy or Californication?,2025-09-15T14:17:54Z,0,0,https://www.youtube.com/watch?v=9hLn4q9d0yE
Judiciary,7ORoAlN-5v8,"Markup of H.R. 4371, H.R. 4323, H.R. 3770, H.R. 3592, H.R. 4465, H.R. 4499, and more",2025-09-10T19:47:36Z,2064,40,https://www.youtube.com/watch?v=7ORoAlN-5v8
Natural Resources,E2nEt0HC1CU,Markup | Full Committee Hearing,2025-09-17T13:55:51Z,120,5,https://www.youtube.com/watch?v=E2nEt0HC1CU
Natural Resources,e132CRTy-SE,Unleashing Alaska’s Extraordinary Resource Potential,2025-09-17T05:27:16Z,788,6,https://www.youtube.com/watch?v=e132CRTy-SE
Natural Resources,JJNTebEpXLw,Oversight Hearing | Subcommittee on Oversight and Investigations,2025-09-12T10:17:16Z,701,8,https://www.youtube.com/watch?v=JJNTebEpXLw
Natural Resources,LCGT_k0rkxA,Legislative Hearing | Indian and Insular Affairs Subcommittee,2025-09-12T09:26:51Z,812,7,https://www.youtube.com/watch?v=LCGT_k0rkxA
Natural Resources,h-8JJbqa1CI,Oversight Hearing | Subcommittee on Federal Lands,2025-09-12T00:52:20Z,1820,9,https://www.youtube.com/watch?v=h-8JJbqa1CI
Small Business,OWtGvHXvYCQ,Pathway to Capital: The Role of SBA Lending in Supporting Main Street America,2025-09-17T04:19:09Z,797,4,https://www.youtube.com/watch?v=OWtGvHXvYCQ
Small Business,MxrXx17S0fM,Leveling the Playing Field: Fostering Opportunities for Small Business Contractors,2025-09-12T23:05:24Z,1096,13,https://www.youtube.com/watch?v=MxrXx17S0fM
Small Business,tknc4_piX64,Full Committee Markup,2025-09-11T23:49:35Z,195,4,https://www.youtube.com/watch?v=tknc4_piX64
Small Business,qyla9-OaSSM,Streaming Success: Small Businesses in the Age of Digital Influence,2025-09-11T15:04:03Z,0,12,https://www.youtube.com/watch?v=qyla9-OaSSM
Small Business,k5oMpz0SDbk,Wired for Growth: How Expanding Broadband Can Revitalize Rural Small Businesses,2025-09-04T03:45:21Z,1199,11,https://www.youtube.com/watch?v=k5oMpz0SDbk
Oversight and Accountability,7bhNDRQbjgY,Opening Doors to Opportunity: The Promise of Expanded School Choice & Alternatives to 4-Year Degrees,2025-09-17T13:45:51Z,260,14,https://www.youtube.com/watch?v=7bhNDRQbjgY
Oversight and Accountability,PuRnW209tGg,From Protection to Persecution: EPA Enforcement Gone Rogue Under the Biden Administration,2025-09-17T07:58:43Z,2875,58,https://www.youtube.com/watch?v=PuRnW209tGg
Oversight and Accountability,RcfPmTZ4jpI,A One Year Update on DOD's Struggling Background Check System,2025-09-17T07:52:37Z,1634,20,https://www.youtube.com/watch?v=RcfPmTZ4jpI
Oversight and Accountability,nzm5xYtsxzM,Playing God with the Weather – A Disastrous Forecast,2025-09-17T04:28:03Z,4994,157,https://www.youtube.com/watch?v=nzm5xYtsxzM
Oversight and Accountability,-qabY1NiDis,"Better Meals, Fewer Pills: Making Our Children Healthy Again",2025-09-12T16:32:56Z,2648,50,https://www.youtube.com/watch?v=-qabY1NiDis
