committee,video_id,title,published_at,duration_minutes,duration_formatted,view_count,like_count,url
Assassination Task Force,UuBS5LUwMUU,Secret Service Security Failures and the Attempts to Assassinate President-Elect Donald J. Trump.,2024-12-06T04:43:28Z,115,1h 55m,2997,20,https://www.youtube.com/watch?v=UuBS5LUwMUU
Rules,5A2jIJxnucE,Rules Committee Hearing  H.R. 5371 and H.Res. 719,2025-09-17T10:26:08Z,201,3h 21m,1431,37,https://www.youtube.com/watch?v=5A2jIJxnucE
Rules,UZ8UnK6SChQ,"Rules Committee Hearing  H.R. 1047, 3062, 3015, 4922, 5143, 5140, 5125",2025-09-16T09:48:36Z,105,1h 45m,940,35,https://www.youtube.com/watch?v=UZ8UnK6SChQ
Rules,S5Gj9BDLkKQ,Rules Committee Hearing  H.R. 3838 and 3486 Part II,2025-09-11T21:18:36Z,65,1h 5m,1800,20,https://www.youtube.com/watch?v=S5Gj9BDLkKQ
Rules,fRm7NJMMRTQ,Rules Committee Hearing  H.R. 3838 and 3486,2025-09-09T01:20:32Z,426,7h 6m,3565,45,https://www.youtube.com/watch?v=fRm7NJMMRTQ
Veterans' Affairs,BRd8EuyhluA,Subcommittee on Technology Modernization Oversight Hearing,2025-09-16T08:37:10Z,120,2h 0m,2153,27,https://www.youtube.com/watch?v=BRd8EuyhluA
Veterans' Affairs,tauJC7LWUn4,Subcommittee on Technology Modernization Oversight Field Hearing,2025-07-26T04:53:52Z,109,1h 49m,1729,25,https://www.youtube.com/watch?v=tauJC7LWUn4
Veterans' Affairs,ewRADz1xvCQ,Full Committee Markup,2025-07-23T18:57:53Z,292,4h 52m,1855,21,https://www.youtube.com/watch?v=ewRADz1xvCQ
Veterans' Affairs,kAki1mTMHGg,Subcommittee on Oversight and Investigations Oversight Hearing,2025-07-23T07:35:45Z,100,1h 40m,2302,31,https://www.youtube.com/watch?v=kAki1mTMHGg
Veterans' Affairs,EGKOFXTWsxI,Subcommittee on Economic Opportunity Oversight Hearing,2025-07-17T07:29:40Z,80,1h 20m,2084,14,https://www.youtube.com/watch?v=EGKOFXTWsxI
Education and the Workforce,l9P6XrM3HeY,No More Surprises: Reforming College Pricing for Students and Families,2025-09-17T04:30:19Z,129,2h 9m,886,12,https://www.youtube.com/watch?v=l9P6XrM3HeY
Education and the Workforce,EqhFGb074Gc,From Playground to Classroom: The Spread of Antisemitism in K-12 Schools,2025-09-12T06:43:48Z,116,1h 56m,2665,31,https://www.youtube.com/watch?v=EqhFGb074Gc
Education and the Workforce,XJI76UUDOSM,Unmasking Union Antisemitism,2025-09-10T21:23:00Z,91,1h 31m,1778,18,https://www.youtube.com/watch?v=XJI76UUDOSM
Ways and Means,a3MoTSguCyE,Oversight Subcommittee Hearing on Where Tax-Exempt Hospitals are Spending Your Tax Dollars,2025-09-17T09:02:47Z,183,3h 3m,2666,10,https://www.youtube.com/watch?v=a3MoTSguCyE
Ways and Means,XXSbOVBPcgs,Joint Social Security and Work & Welfare Subcommittee Hearing on Untapped Talent in America,2025-09-12T11:57:57Z,177,2h 57m,1785,26,https://www.youtube.com/watch?v=XXSbOVBPcgs
Energy and Commerce,Ioit78f_sDk,Environment Legislative Hearing: From Gridlock to Growth: Permitting Reform Under the Clean Air Act,2025-09-17T10:27:32Z,147,2h 27m,648,1,https://www.youtube.com/watch?v=Ioit78f_sDk
